Category,Functional Space,Width (m),Length (m),Floor area (sq.m),Window Width (m),Window Height (m),Provided Purge,Required Purge
Room,Master Bedroom,5.8900000000000299,5.9999999999997993,35.339999999998994,1.5000000000000002,2.7000000000000002,6.0750000000000011,3.5339999999998994
Room,Master Bedroom,5.8900000000000299,5.9999999999997993,35.339999999998994,1.5000000000000002,2.7000000000000002,6.0750000000000011,3.5339999999998994
Room,Master Bedroom,5.8900000000000299,5.9999999999997993,35.339999999998994,1.5000000000000002,2.7000000000000002,6.0750000000000011,3.5339999999998994
Room,Master Bath,2.3200000000000163,3.1799999999997328,7.3775999999994317,1.5000000000000002,2.7000000000000002,2.0250000000000004,0.73775999999994324
Room,Bedroom,3.3237140814779287,4.4999999999997362,14.956713366649803,1.5000000000000002,2.7000000000000002,2.0250000000000004,1.4956713366649803
Room,Bath,2.3762859185220786,1.6759999999998356,3.9826551994426129,0,0,0,0.39826551994426129
Room,Bath,2.3749000000000708,1.6759999999999877,3.9803324000000897,0,0,0,0.398033240000009
Room,Bedroom,3.2240999999999351,4.4999999999997353,14.508449999998854,1.5000000000000002,2.7000000000000002,2.0250000000000004,1.4508449999998856
Room,Entry Hall,11.939430022573394,6.0650000000020405,72.412643086931993,1.5000000000000002,2.7000000000000002,8.1000000000000014,7.2412643086932
Room,Entry Hall,11.939430022573394,6.0650000000020405,72.412643086931993,1.5000000000000002,2.7000000000000002,8.1000000000000014,7.2412643086932
Room,Entry Hall,11.939430022573394,6.0650000000020405,72.412643086931993,1.5000000000000002,2.7000000000000002,8.1000000000000014,7.2412643086932
Room,Entry Hall,11.939430022573394,6.0650000000020405,72.412643086931993,1.5000000000000002,2.7000000000000002,8.1000000000000014,7.2412643086932
Room,Kitchen & Dining,12.498000000000017,6.1010000000022666,76.250298000028437,0,0,0,7.625029800002844
Room,Laundry,2.1759000000000044,2.374900000000066,5.1675449100001538,0,0,0,0.51675449100001536
Room,Bath,1.5283603930814791,1.7989999999998212,2.7495203471533074,0,0,0,0.27495203471533075
Room,Hall,6.2020000000000088,6.2800000000033371,38.948560000020755,0,0,0,3.8948560000020755
Room,Living,6.0000000000000187,11.720000000000153,70.320000000001144,1.5000000000000002,2.7000000000000002,16.200000000000003,7.0320000000001146
Room,Living,6.0000000000000187,11.720000000000153,70.320000000001144,1.5000000000000002,2.7000000000000002,16.200000000000003,7.0320000000001146
Room,Living,6.0000000000000187,11.720000000000153,70.320000000001144,1.5000000000000002,2.7000000000000002,16.200000000000003,7.0320000000001146
Room,Living,6.0000000000000187,11.720000000000153,70.320000000001144,1.5000000000000002,2.7000000000000002,16.200000000000003,7.0320000000001146
Room,Living,6.0000000000000187,11.720000000000153,70.320000000001144,1.5000000000000002,2.7000000000000002,16.200000000000003,7.0320000000001146
Room,Living,6.0000000000000187,11.720000000000153,70.320000000001144,1.5000000000000002,2.7000000000000002,16.200000000000003,7.0320000000001146
Room,Living,6.0000000000000187,11.720000000000153,70.320000000001144,1.5000000000000002,2.7000000000000002,16.200000000000003,7.0320000000001146
Room,Living,6.0000000000000187,11.720000000000153,70.320000000001144,1.5000000000000002,2.7000000000000002,16.200000000000003,7.0320000000001146
Room,Mech.,1.1455396069185282,1.7989999999998196,2.0608257528462257,0,0,0,0.20608257528462259
Room,Linen,2.37490000000007,0.58799999999992747,1.3964411999998689,0,0,0,0.13964411999998691
